Nombre,Gerencia área / area,Especialidad,Gerencia ACL,Asesor HSW,Ene,feb,mar,Abr,May,Jun,Jul,Ago,Sept,Oct,Nov,Dic
Usuario 221,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 222,Execution,Estimaciones y Constructibilidad,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 223,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 224,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 225,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 226,"Health, safety and wellness","Health, safety and wellness",BA Operations,Asesor 6,,,,,,,1,,,,,
Usuario 227,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 2,,,,,,1,,,,,,
Usuario 228,Workplace,Mantenimiento,BA Resilience ,Asesor 1,,,,,,,,,,,,
Usuario 229,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 230,Control de Proyectos / Control de Documentos,Control de Documentos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 231,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 232,People,People,People,Asesor 1,,,,,,,,,,,,
Usuario 233,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 234,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 235,BA Operations,Contratos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 236,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 237,Global Technology,Soporte,BA Resilience ,Asesor 1,,,,,,,,,,,,
Usuario 238,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 239,People,People Service,People,Asesor 1,,,,,,,,,,,,
Usuario 240,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 241,Accounting,Cuentas Por Pagar,Finance,Asesor 1,,,,,,,,,,,,
Usuario 242,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 243,Consulting and Sustainability,Analisis Territorial y Geotecnologias,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 244,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
